Ressource_1,Ressource_2,Ressource_3,Ressource_4,Ressource_5
,2.0,3.0,,1.0
,5.0,,3.0,5.0
4.0,3.0,1.0,1.0,
3.0,,5.0,5.0,4.0
2.0,5.0,3.0,,3.0
,2.0,5.0,2.0,
2.0,,3.0,,4.0
2.0,5.0,2.0,5.0,3.0
5.0,4.0,1.0,5.0,5.0
,4.0,,5.0,1.0
3.0,1.0,3.0,4.0,2.0
,5.0,,1.0,5.0
1.0,3.0,1.0,,1.0
4.0,1.0,5.0,3.0,
1.0,4.0,,5.0,
,,1.0,4.0,4.0
3.0,2.0,5.0,5.0,
4.0,,4.0,3.0,
,5.0,1.0,,5.0
,2.0,2.0,,
,3.0,,2.0,
1.0,2.0,2.0,4.0,1.0
5.0,5.0,2.0,,2.0
3.0,,2.0,5.0,5.0
5.0,3.0,,1.0,4.0
,,5.0,,4.0
,,,4.0,3.0
2.0,2.0,,3.0,5.0
5.0,,4.0,,4.0
4.0,5.0,1.0,1.0,3.0
5.0,4.0,1.0,4.0,1.0
1.0,1.0,,2.0,
5.0,5.0,5.0,5.0,5.0
3.0,4.0,,4.0,
3.0,4.0,1.0,,
1.0,,,,1.0
3.0,4.0,,4.0,4.0
5.0,,,,2.0
2.0,,,,4.0
,1.0,4.0,3.0,
,1.0,5.0,4.0,5.0
,5.0,5.0,,5.0
2.0,3.0,5.0,1.0,2.0
,2.0,3.0,,5.0
1.0,1.0,2.0,1.0,
,,1.0,3.0,
1.0,5.0,1.0,2.0,
3.0,1.0,5.0,4.0,1.0
5.0,,3.0,5.0,5.0
,,,2.0,3.0
,5.0,1.0,1.0,3.0
5.0,5.0,,1.0,1.0
2.0,4.0,2.0,,2.0
,,2.0,4.0,
4.0,5.0,,1.0,1.0
5.0,,2.0,3.0,3.0
,2.0,,2.0,
3.0,3.0,2.0,,1.0
1.0,4.0,2.0,3.0,1.0
5.0,5.0,4.0,2.0,1.0
,1.0,4.0,4.0,
2.0,5.0,2.0,,3.0
3.0,3.0,3.0,1.0,3.0
,4.0,1.0,,
3.0,5.0,2.0,5.0,2.0
3.0,,5.0,5.0,
,2.0,5.0,5.0,1.0
5.0,1.0,4.0,2.0,
1.0,2.0,5.0,3.0,1.0
,1.0,1.0,,
1.0,,4.0,,1.0
,5.0,4.0,2.0,
2.0,5.0,2.0,,
3.0,3.0,4.0,5.0,2.0
,3.0,,1.0,5.0
4.0,,,,
,1.0,,,4.0
1.0,4.0,,3.0,
,2.0,,2.0,1.0
4.0,3.0,,1.0,5.0
4.0,2.0,,3.0,
5.0,5.0,,1.0,
5.0,4.0,3.0,1.0,3.0
,,,,4.0
4.0,3.0,,1.0,3.0
,2.0,3.0,,3.0
5.0,,5.0,2.0,4.0
3.0,4.0,1.0,4.0,
4.0,1.0,2.0,,3.0
,,,3.0,1.0
2.0,,5.0,2.0,4.0
,5.0,2.0,4.0,
,1.0,1.0,1.0,3.0
,1.0,5.0,4.0,4.0
2.0,,3.0,,2.0
4.0,3.0,3.0,1.0,4.0
5.0,,1.0,5.0,4.0
3.0,5.0,,5.0,
,,4.0,1.0,
2.0,1.0,,3.0,5.0
1.0,1.0,1.0,1.0,1.0
2.0,,3.0,3.0,
,2.0,4.0,5.0,1.0
,3.0,,5.0,1.0
1.0,5.0,5.0,3.0,1.0
4.0,2.0,2.0,5.0,3.0
,1.0,5.0,,
,5.0,5.0,5.0,4.0
4.0,5.0,2.0,3.0,3.0
3.0,,4.0,2.0,3.0
,,4.0,,2.0
,3.0,4.0,2.0,5.0
,,1.0,4.0,3.0
4.0,4.0,4.0,4.0,
5.0,2.0,1.0,,2.0
1.0,3.0,5.0,1.0,3.0
,5.0,,2.0,4.0
,1.0,,5.0,1.0
5.0,,2.0,4.0,1.0
5.0,,1.0,,4.0
1.0,,,,2.0
3.0,2.0,,,3.0
,4.0,3.0,3.0,1.0
4.0,,,,5.0
,2.0,4.0,2.0,5.0
,1.0,4.0,,
4.0,4.0,5.0,1.0,1.0
5.0,3.0,3.0,3.0,5.0
1.0,5.0,5.0,3.0,2.0
1.0,3.0,,2.0,
1.0,2.0,3.0,4.0,1.0
5.0,3.0,2.0,,
2.0,4.0,,,
5.0,1.0,1.0,,3.0
,,5.0,,
,,,3.0,3.0
4.0,4.0,,5.0,2.0
,1.0,,3.0,5.0
3.0,4.0,5.0,4.0,
,1.0,5.0,4.0,3.0
2.0,2.0,3.0,4.0,4.0
5.0,,1.0,,
,3.0,4.0,,4.0
1.0,2.0,,1.0,2.0
,,1.0,2.0,5.0
1.0,1.0,3.0,,2.0
2.0,5.0,5.0,2.0,
3.0,,5.0,,
1.0,,1.0,5.0,
,4.0,5.0,2.0,5.0
3.0,1.0,3.0,2.0,
5.0,1.0,5.0,2.0,5.0
1.0,2.0,5.0,4.0,2.0
2.0,4.0,3.0,1.0,3.0
,4.0,,2.0,5.0
,,3.0,4.0,1.0
,3.0,2.0,5.0,1.0
2.0,,4.0,3.0,3.0
,3.0,,3.0,5.0
3.0,,,2.0,
,1.0,1.0,,1.0
,5.0,3.0,2.0,1.0
3.0,3.0,,5.0,4.0
4.0,3.0,2.0,,3.0
5.0,4.0,3.0,3.0,1.0
,,,1.0,
4.0,3.0,5.0,1.0,
1.0,2.0,1.0,4.0,3.0
2.0,1.0,5.0,2.0,
1.0,,5.0,2.0,
1.0,3.0,2.0,3.0,5.0
,4.0,,2.0,
2.0,1.0,,4.0,4.0
5.0,2.0,3.0,5.0,
,4.0,1.0,4.0,5.0
1.0,5.0,2.0,1.0,5.0
2.0,4.0,2.0,,
2.0,3.0,5.0,5.0,
3.0,3.0,4.0,5.0,1.0
,5.0,4.0,1.0,4.0
,,1.0,4.0,
,1.0,,5.0,2.0
4.0,,,1.0,1.0
5.0,,1.0,1.0,4.0
4.0,3.0,2.0,,5.0
,3.0,4.0,,5.0
,1.0,4.0,,3.0
4.0,,,3.0,5.0
2.0,,,1.0,
,,2.0,3.0,5.0
5.0,1.0,1.0,,4.0
2.0,1.0,5.0,3.0,
3.0,2.0,2.0,1.0,3.0
,5.0,,1.0,1.0
4.0,5.0,2.0,,1.0
,3.0,,,1.0
,1.0,2.0,,2.0
,,5.0,,3.0
,,3.0,5.0,
2.0,,4.0,5.0,4.0
5.0,5.0,1.0,2.0,5.0
,3.0,2.0,3.0,2.0
3.0,,,1.0,3.0
4.0,1.0,3.0,3.0,
,3.0,5.0,,5.0
2.0,4.0,3.0,4.0,
3.0,5.0,,1.0,3.0
2.0,2.0,,5.0,2.0
4.0,,5.0,5.0,
,5.0,3.0,1.0,1.0
1.0,2.0,,5.0,
3.0,,,2.0,
4.0,,5.0,4.0,
